Date,MXWD Index,LEGATRUU Index
2020-08-19,481.51852,543.1836
2020-08-20,480.53214,542.2871
2020-08-21,484.98131,541.5186
2020-08-24,489.18915,542.073
2020-08-25,490.09025,540.4974
2020-08-26,493.60032,540.6099
2020-08-27,494.37001,539.0473
2020-08-28,493.25889,541.8519
2020-08-31,489.67172,542.91
2020-09-01,493.14387,543.8919
2020-09-02,501.40192,543.2097
2020-09-03,489.41384,543.4313
2020-09-04,484.1929,540.9628
2020-09-07,486.19541,541.1028
2020-09-08,477.12352,541.4095
2020-09-09,483.67333,540.8823
2020-09-10,476.87064,541.4828
2020-09-11,478.13171,541.6438
2020-09-14,482.579,543.0573
2020-09-15,485.65241,543.0817
2020-09-16,485.92217,543.7684
2020-09-17,482.28557,543.776
2020-09-18,477.85092,544.5762
2020-09-21,475.07793,542.7344
2020-09-22,478.64815,541.6041
2020-09-23,472.53377,540.5563
2020-09-24,471.20912,539.4295
2020-09-25,477.84913,539.036
2020-09-28,484.02763,539.5694
2020-09-29,479.37971,541.1673
2020-09-30,482.12634,540.9572
2020-10-01,483.60911,541.1062
2020-10-02,481.40664,541.0385
2020-10-05,486.41122,541.1755
2020-10-06,483.55335,541.5144
2020-10-07,488.98717,540.1403
2020-10-08,493.41565,540.7717
2020-10-09,494.46333,542.8753
2020-10-12,501.11024,543.3336
2020-10-13,501.86604,543.0469
2020-10-14,499.25496,543.9745
2020-10-15,497.56664,542.8489
2020-10-16,497.57889,543.4339
2020-10-19,491.15228,544.1573
2020-10-20,490.49438,543.9745
2020-10-21,487.91123,545.5576
2020-10-22,490.54263,543.6948
2020-10-23,491.35194,543.8025
2020-10-26,484.99628,543.9694
2020-10-27,483.32118,545.4697
2020-10-28,472.28857,543.9592
2020-10-29,478.13459,541.7831
2020-10-30,473.11987,541.4746
2020-11-02,479.73564,541.4536
2020-11-03,485.13151,543.2396
2020-11-04,494.16936,544.6883
2020-11-05,501.03863,548.1579
2020-11-06,498.91272,548.4961
2020-11-09,508.07226,544.6831
2020-11-10,508.23723,544.1708
2020-11-11,513.96305,543.011
2020-11-12,509.59695,545.1091
2020-11-13,512.36445,545.8977
2020-11-16,518.1634,546.7667
2020-11-17,516.6173,548.4444
2020-11-18,513.99326,549.2798
2020-11-19,515.16563,548.6534
2020-11-20,514.19259,549.7987
2020-11-23,516.58889,548.5965
2020-11-24,522.59016,549.0274
2020-11-25,520.71887,549.7328
2020-11-26,521.5499,550.0528
2020-11-27,521.66831,551.2971
2020-11-30,517.20403,551.3198
2020-12-01,518.81486,550.69
2020-12-02,517.85951,550.9687
2020-12-03,517.45101,554.0076
2020-12-04,521.32312,553.0064
2020-12-07,521.27627,553.7585
2020-12-08,523.15815,554.1696
2020-12-09,522.60437,553.4397
2020-12-10,520.67112,554.4541
2020-12-11,519.79401,554.9211
2020-12-14,517.22454,555.0635
2020-12-15,521.24842,555.5013
2020-12-16,523.54187,555.9919
2020-12-17,523.56313,557.5698
2020-12-18,522.83958,556.7043
2020-12-21,518.63321,555.9866
2020-12-22,520.4524,555.6922
2020-12-23,521.87872,555.4962
2020-12-24,523.104,555.9688
2020-12-25,522.80579,555.9331
2020-12-28,525.08316,555.818
2020-12-29,525.24065,557.4482
2020-12-30,525.09504,558.9703
2020-12-31,528.64483,558.7254
2021-01-01,529.1043,558.7254
2021-01-04,524.7528,559.5641
2021-01-05,525.98293,559.3117
2021-01-06,528.37231,557.4265
2021-01-07,536.06196,556.174
2021-01-08,542.63807,556.1311
2021-01-11,541.20391,553.3634
2021-01-12,541.80961,553.3005
2021-01-13,543.76327,555.2697
2021-01-14,543.77643,554.9917
2021-01-15,542.30536,554.1684
2021-01-18,542.98146,553.6446
2021-01-19,545.40739,554.6504
2021-01-20,552.10696,554.9847
2021-01-21,551.17641,555.0088
2021-01-22,547.94543,554.7533
2021-01-25,550.08991,555.3268
2021-01-26,547.90804,555.8737
2021-01-27,538.45313,554.5757
2021-01-28,539.7901,554.2254
2021-01-29,529.92631,553.8047
2021-02-01,540.62601,552.5796
2021-02-02,549.93702,551.1576
2021-02-03,551.23747,550.607
2021-02-04,557.44135,549.4523
2021-02-05,557.03514,549.7187
2021-02-08,560.74873,550.5713
2021-02-09,559.02891,552.043
2021-02-10,558.62704,552.8032
2021-02-11,560.51653,552.7889
2021-02-12,562.76557,551.3349
2021-02-15,564.73737,550.7887
2021-02-16,565.74474,549.0071
2021-02-17,566.79444,547.8368
2021-02-18,561.7219,547.8215
2021-02-19,560.51497,547.8624
2021-02-22,553.85812,547.8397
2021-02-23,554.94352,547.7269
2021-02-24,556.22319,545.9423
2021-02-25,546.17711,544.3751
2021-02-26,543.9952,544.272
2021-03-01,556.8643,543.9696
2021-03-02,552.24636,544.6158
2021-03-03,549.13297,543.3522
2021-03-04,544.7402,541.7051
2021-03-05,551.95861,538.7504
2021-03-08,551.72851,536.5558
2021-03-09,557.7927,538.0334
2021-03-10,559.52225,538.8547
2021-03-11,563.69495,540.5076
2021-03-12,564.50243,537.733
2021-03-15,567.56221,537.8582
2021-03-16,569.5686,537.9298
2021-03-17,569.52175,536.9351
2021-03-18,564.49049,536.5819
2021-03-19,563.77983,536.5385
2021-03-22,564.54673,537.8945
2021-03-23,564.09041,538.0766
2021-03-24,560.44094,537.7728
2021-03-25,563.72875,536.6374
2021-03-26,571.11925,536.145
2021-03-29,571.45643,534.641
2021-03-30,573.578,533.1947
2021-03-31,573.01081,533.802
2021-04-01,577.99533,534.8058
2021-04-02,579.05561,534.2901
2021-04-05,581.87009,534.951
2021-04-06,580.93607,537.029
2021-04-07,580.07061,537.6401
2021-04-08,580.90824,538.5224
2021-04-09,583.78992,537.4741
2021-04-12,582.0595,537.7444
2021-04-13,582.98618,538.5787
2021-04-14,580.59282,539.3575
2021-04-15,586.43104,541.1306
2021-04-16,588.38094,540.5835
2021-04-19,583.97873,541.7178
2021-04-20,579.42053,542.4176
2021-04-21,581.89965,542.5287
2021-04-22,581.50129,542.6146
2021-04-23,582.69512,542.4938
2021-04-26,584.26272,543.0947
2021-04-27,584.49474,542.1263
2021-04-28,583.72035,541.7808
2021-04-29,584.31284,541.6839
2021-04-30,583.54536,540.5455
2021-05-03,583.51705,541.679
