Date,Ptf_rdt,Ptf_rdt_cum,Valeur_Ptf,Volatilite_glissante,vol_ewma,"VaR Norm(95%, 1Y)"
2022-01-03,-0.005357080303443966,0.994642919696556,1491964.3795448341,,0.08727025042601363,-0.14354678793819176
2022-01-04,-0.021752059561276196,0.9730073876651149,1459511.0814976722,,0.08912117873968757,-0.1465912940881655
2022-01-05,-0.0068392295205479585,0.9663527668156844,1449529.1502235266,,0.09339685604515026,-0.1536241574117299
2022-01-06,-0.01007030020657859,0.9566213043483925,1434931.9565225889,,0.0923452954391271,-0.15189449413495343
2022-01-07,-0.012695393616537376,0.9444766203477243,1416714.9305215864,,0.0946781466521845,-0.15573169291388905
2022-01-10,0.012536007554826895,0.9563165863957607,1434474.879593641,,0.09241425731809208,-0.15200792633169036
2022-01-11,0.00476142795229763,0.9608700189214713,1441305.028382207,,0.09219335093998776,-0.15164456767444875
2022-01-12,-0.01826437165647991,0.9433203317823207,1414980.497673481,,0.09082921067068664,-0.14940075660481825
2022-01-13,-0.009646980780666085,0.9342201386716051,1401330.2080074076,,0.09261000002837687,-0.1523298944386516
2022-01-14,0.0005354858366438458,0.9347204003241711,1402080.6004862566,,0.08988085791166237,-0.14784085512950776
2022-01-17,-0.01559509515289205,0.9201433467397664,1380215.0201096495,,0.09348569522849853,-0.15377028486467573
2022-01-18,-0.0070587796752904185,0.913648257585446,1370472.386378169,,0.09075964033968802,-0.14928632359354696
2022-01-19,-0.0038575212931353025,0.9101238399773741,1365185.7599660612,,0.08807268064273158,-0.14486666819053573
2022-01-20,-0.023955014662639173,0.8883218100458986,1332482.7150688479,,0.1010296655407929,-0.16617901179446734
2022-01-21,-0.018891124221479295,0.8715404123836722,1307310.6185755082,,0.11364087636874134,-0.18692260766506802
2022-01-24,-0.008362077643548753,0.8642525237858294,1296378.785678744,,0.11223908887286743,-0.1846168724182646
2022-01-25,0.010011342392678698,0.872904851715186,1309357.277572779,,0.1168293868017089,-0.19216724061530732
2022-01-26,-0.00646321000582475,0.8672630843434475,1300894.6265151713,,0.1132776276136812,-0.18632511663282172
2022-01-27,0.002381740883054739,0.8693286802877923,1303993.0204316885,,0.11041576888142747,-0.18161777791725145
2022-01-28,0.03370029376201033,0.8986253121892317,1347937.9682838474,,0.11797127747514959,-0.19404548363109828
2022-01-31,0.01043194287286653,0.9079997201101017,1361999.5801651524,,0.11761658927858976,-0.19346207346454997
2022-02-01,0.006219145018731901,0.9136467020464344,1370470.0530696516,,0.1158769708445173,-0.19060065577375426
2022-02-02,-0.03745754817533224,0.8794237366892967,1319135.605033945,,0.13239748705992108,-0.21777448678977177
2022-02-03,-0.004538542103519528,0.8754324350334979,1313148.6525502468,,0.1295362979068906,-0.2130682494340154
2022-02-04,0.012272239799829124,0.8861759518047774,1329263.927707166,,0.12559312693228047,-0.20658231035473815
2022-02-07,0.0015677084714946334,0.8875652173516566,1331347.8260274848,,0.12224751240711826,-0.20107926416864352
2022-02-08,0.02843427348062824,0.9128024894737269,1369203.7342105904,,0.1314952047519006,-0.21629036446289013
2022-02-09,-0.004731775993420661,0.9084833125673005,1362724.9688509507,,0.12952289244174273,-0.2130461994060459
2022-02-10,-0.02631715300070569,0.884574618231879,1326861.9273478184,,0.12782242653640705,-0.2102491818941472
2022-02-11,-0.00405078055884336,0.8809914005654991,1321487.1008482487,,0.1309060242284903,-0.21532124874202951
2022-02-14,0.029469026396078655,0.9069533594034821,1360430.0391052233,,0.13111173281910116,-0.21565960926339087
2022-02-15,0.00010862144134679992,0.9070518739846148,1360577.8109769223,,0.12711754791092153,-0.2090897597304568
2022-02-16,-0.025968670859157356,0.8834969424169266,1325245.4136253898,,0.1259977219711993,-0.20724780997195033
2022-02-17,-0.01938222903829993,0.8663728023243641,1299559.2034865462,,0.12278342624180467,-0.20196076398336096
2022-02-18,-0.004921603765096032,0.8621088586784678,1293163.2880177016,,0.12329543178185187,-0.20280293815292683
2022-02-21,-0.009930539248926049,0.8535476528205144,1280321.4792307715,,0.1197838556530711,-0.1970269094211856
2022-02-22,-0.013725920394580307,0.8418319256849192,1262747.8885273787,,0.11858148600392678,-0.19504918734285417
2022-02-23,0.006831669066389045,0.8475830428107195,1271374.5642160792,,0.1278291398921852,-0.2102602243817479
2022-02-24,0.019490062795376534,0.8641024895393967,1296153.7343090952,,0.13851478422430408,-0.2278365452177471
2022-02-25,0.0059080775565246175,0.8692076740643815,1303811.5110965723,,0.13431962944639375,-0.2209361296656785
2022-02-28,-0.00923181125924966,0.8611833128723277,1291774.9693084916,,0.13027840970213997,-0.21428891471203476
2022-03-01,0.014965159917926869,0.8740710588681121,1311106.588302168,,0.12631299919279904,-0.20776639485339385
2022-03-02,-0.007103738204198435,0.8678618868940465,1301792.8303410697,,0.12252081430455844,-0.20152880578590074
2022-03-03,-0.02215997933158692,0.8486300854178024,1272945.1281267037,,0.1332868490269213,-0.21923735704686478
2022-03-04,-0.02997914173750391,0.8231888838043521,1234783.325706528,,0.1391463578898902,-0.22887539145227345
2022-03-07,-0.017587770631910513,0.8087108265292626,1213066.2397938939,,0.13839883232494224,-0.22764582131552985
2022-03-08,0.03397234548336487,0.8361846301242524,1254276.9451863787,,0.14313962176974,-0.2354437260284187
2022-03-09,-0.006630288822147085,0.8306404845178883,1245960.7267768325,,0.14342608691565228,-0.23591491926266772
2022-03-10,-0.003896034313759818,0.8274042806878085,1241106.4210317128,,0.13913828507260012,-0.22886211284947416
2022-03-11,-0.01915418833817103,0.8115560232637052,1217334.034895558,,0.13496100033774452,-0.2219910909025379
