Date,Ptf_rdt,Ptf_rdt_cum,Ptf_value,roll_vol,vol_ewma,"VaR Norm(95%, 1Y)"
2022-01-03,0.005315073451713428,1.0053150734517133,1507753.060423994,,,
2022-01-04,-0.0071983136960195706,0.998078500189671,1496899.7809189286,,,
2022-01-05,-0.009117629628545919,0.988978390084727,1483251.6031254584,,,
2022-01-06,-0.00465800957232897,0.9843717192768858,1476342.6029599276,,,
2022-01-07,-0.00791805367727911,0.9765774111652559,1464652.8429836368,,,
2022-01-10,0.0027492263012941155,0.979262243469281,1468679.5051018326,,,
2022-01-11,0.005585096261490204,0.9847315173642999,1476882.2215151042,,,
2022-01-12,-0.004149236545329353,0.9806456333651142,1470754.2878284464,,,
2022-01-13,-0.007371759598203933,0.9734165495049182,1459912.2407905476,,,
2022-01-14,0.0010463229144255192,0.9744350575459462,1461439.7804211369,,,
2022-01-17,-0.008704894861573522,0.9659527028205773,1448718.1007860499,,,
2022-01-18,0.0012093070101837841,0.9671208361956042,1450470.0457411103,,,
2022-01-19,-0.0009527158086220397,0.9661994448861129,1449088.1599986001,,,
2022-01-20,-0.013886358695894224,0.9527824528226504,1428965.602026886,,,
2022-01-21,-0.014817396223314764,0.9386646977045554,1407792.052512166,,,
2022-01-24,-0.005505043518262213,0.9334973076946353,1400042.095998423,,,
2022-01-25,0.010933146295376044,0.9437033703260005,1415348.9610536587,,,
2022-01-26,0.00033150762171033353,0.9440162151858973,1415818.1600216278,,,
2022-01-27,-0.002929172226625262,0.9412510291068908,1411670.9847893408,,,
2022-01-28,0.012747753238845395,0.9532498649617548,1429666.6181578732,,,
2022-01-31,0.007049865639452467,0.9599701484305613,1439745.5757250963,,,
2022-02-01,0.005294439436522531,0.9650526522422965,1447368.2214797742,,,
2022-02-02,-0.018015408145689023,0.9476668348300719,1421293.2922327162,,,
2022-02-03,-0.0044714229252854005,0.9434294156192801,1414938.0888222724,,,
2022-02-04,0.00022423807069233814,0.9436409684112729,1415255.371809459,,,
2022-02-07,-0.0027845801916728547,0.9410133244625839,1411314.4797349598,,,
2022-02-08,0.014645732640465781,0.9547951540237789,1431984.2142767762,,,
2022-02-09,-0.005879354711238842,0.9491815746367013,1423565.0711401487,,,
2022-02-10,-0.006134320214241249,0.9433589909164221,1414832.467147966,,,
2022-02-11,-0.010844404778941217,0.9331288241670709,1399489.4511798252,,,
2022-02-14,0.008459687719474949,0.9410228026215651,1411328.694903506,,,
2022-02-15,-1.1758129564538953e-05,0.9410117379535287,1411312.100317853,,,
2022-02-16,-0.006736181349267272,0.9346729122348846,1401805.2460696967,,,
2022-02-17,-0.0031796881245842244,0.9317009438754807,1397347.942575789,,,
2022-02-18,-0.00825574995109028,0.9240090538536501,1385811.787367213,,,
2022-02-21,-0.001967231436004846,0.9221913141957561,1383085.5748547183,,,
2022-02-22,-0.006162949744983102,0.9165078954711077,1374561.6879638776,,,
2022-02-23,-0.014370417327327537,0.9033372945293972,1354808.6628656809,,,
2022-02-24,0.015908289160924755,0.9177078454206183,1376361.350832274,,,
2022-02-25,0.0006605990219481137,0.9183140823257373,1377270.5737944809,,,
2022-02-28,-0.0009345992655489953,0.9174558266588524,1375983.3777277505,,,
2022-03-01,-0.00023815568008210618,0.9172373293425091,1375655.679470646,,,
2022-03-02,-0.0009510043287993971,0.916365032671768,1374347.424964532,,,
2022-03-03,-0.015547153091133963,0.902118165221458,1352980.2351482026,,,
2022-03-04,-0.01326931020677367,0.890147679443969,1335027.1207043875,,,
2022-03-07,-0.007944210306399545,0.8830761590747126,1324421.3844927647,,,
2022-03-08,0.012817318235507368,0.8943948272317627,1341396.9148557198,,,
2022-03-09,0.00931314486602616,0.9027244558251966,1353889.5386466116,,,
2022-03-10,-0.0012248128491431488,0.9016187873124661,1352231.2773433567,,,
2022-03-11,0.0010470727015036876,0.9025628477318239,1353647.1617999827,,,
2022-03-14,-0.00029638541467383664,0.9022953412679298,1353245.9605246105,,,
2022-03-15,0.020996512993792252,0.9212403971251002,1381659.4069185625,,,
2022-03-16,0.002492605122714629,0.9235366856582258,1385103.3382340944,,,
2022-03-17,0.010819636588446344,0.9335290169731459,1400089.6529912313,,,
2022-03-18,0.0016128425800819323,0.9350346523214622,1402347.7771995075,,,
2022-03-21,0.004837252588294467,0.9395576511135493,1409131.287614455,,,
2022-03-22,-0.004643617672620949,0.9351947046003921,1402587.8206642452,,,
2022-03-23,-0.00018077790222617205,0.9350256420635215,1402334.2637803375,,,
2022-03-24,0.002885029113431273,0.9377232182626795,1406380.038958106,,,
2022-03-25,0.002713267633654666,0.9402675123201182,1410195.9243984292,,,
2022-03-28,0.008589044813791852,0.9483435121203881,1422308.1603893137,,,
2022-03-29,-0.004143628466009022,0.9444139289480111,1416414.6438084878,,,
2022-03-30,-0.0021629033910366743,0.9423712528585473,1413351.0757722803,,,
2022-03-31,0.0008613720531372044,0.9431829851194395,1414568.4968902222,,,
2022-04-01,0.007888324145504168,0.9506231182345859,1425727.0717197107,,,
2022-04-04,0.00013273135531564244,0.9507492957294635,1425916.3104062502,,,
2022-04-05,-0.014380787357746824,0.9370767722770506,1405410.511156355,,,
2022-04-06,0.001819770586731668,0.9387820370247498,1407968.035866841,,,
2022-04-07,-0.0004803287173832817,0.9383311130530033,1407291.7483860564,,,
2022-04-08,-0.0049139152090941565,0.9337202335254059,1400376.4360600295,,,
2022-04-11,-0.001934526087641358,0.9319139273750925,1397667.3713119533,,,
2022-04-12,0.001217317044730577,0.9330483620831079,1399368.775625915,,,
